Organism Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Acinetobacter baumannii  	strain: LAC4	470	ASM190829v1	GCF_001908295.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3974606	3988690	2016-12-19	3861	PRJNA328023	SAMN05362953
Acinetobacter baumannii  	strain: CMC-CR-MDR-Ab4	470	ASM192220v1	GCF_001922205.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3970947	4156005	2016-12-27	4021	PRJNA296424	SAMN04096368
Acinetobacter baumannii  	strain: CMC-MDR-Ab59	470	ASM192222v1	GCF_001922225.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3965390	4076357	2016-12-27	3917	PRJNA296424	SAMN04096369
Acinetobacter baumannii  	strain: CMC-CR-MDR-Ab66	470	ASM192224v1	GCF_001922245.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3990003	4174158	2016-12-27	4047	PRJNA296424	SAMN04096370
Acinetobacter baumannii  	strain: AB042	470	ASM194176v1	GCF_001941765.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4004719	4004719	2017-01-10	3839	PRJNA305150	SAMN04273154
Acinetobacter baumannii  	strain: AB34299	470	ASM200911v1	GCF_002009115.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline	Complete Genome	3882432	3983044	2017-03-02	3864	PRJNA311034	SAMN04457967
Acinetobacter baumannii  	strain: JBA13	470	ASM208262v2	GCF_002082625.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3974901	4065873	2017-04-10	3950	PRJNA380857	SAMN06650260
Acinetobacter baumannii  	strain: CBA7	470	ASM208264v1	GCF_002082645.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3996455	4108454	2017-04-10	4037	PRJNA380857	SAMN06650245
Acinetobacter baumannii  	strain: 15A34	470	ASM208268v1	GCF_002082685.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3866657	3938733	2017-04-10	3797	PRJNA380857	SAMN06650243
Acinetobacter baumannii  	strain: 15A5	470	ASM208270v1	GCF_002082705.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3966348	4049307	2017-04-10	3918	PRJNA380857	SAMN06650264
Acinetobacter baumannii  	strain: USA2	470	ASM208272v1	GCF_002082725.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3913358	3987599	2017-04-10	3824	PRJNA380857	SAMN06650241
Acinetobacter baumannii  	strain: SSA6	470	ASM208274v1	GCF_002082745.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3884414	3884414	2017-04-10	3695	PRJNA380857	SAMN06650242
Acinetobacter baumannii  	strain: HWBA8	470	ASM208278v1	GCF_002082785.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4077713	4273551	2017-04-10	4108	PRJNA380857	SAMN06650239
Acinetobacter baumannii  	strain: WKA02	470	ASM208280v1	GCF_002082805.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3870945	3870945	2017-04-10	3736	PRJNA380857	SAMN06650238
Acinetobacter baumannii  	strain: USA15	470	ASM208282v1	GCF_002082825.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3930178	4028479	2017-04-10	3894	PRJNA380857	SAMN06650240
Acinetobacter baumannii  	strain: SAA14	470	ASM208284v1	GCF_002082845.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3972565	3972565	2017-04-10	3835	PRJNA380857	SAMN06650262
Acinetobacter baumannii  	strain: SSA12	470	ASM208286v1	GCF_002082865.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3982722	4064716	2017-04-10	3966	PRJNA380857	SAMN06650263
Acinetobacter baumannii  	strain: SSMA17	470	ASM208288v1	GCF_002082885.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3932204	4023177	2017-04-10	3913	PRJNA380857	SAMN06650261
Acinetobacter baumannii  	strain: ab736	470	ASM211692v1	GCF_002116925.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3980886	3990425	2017-05-02	3821	PRJNA317553	SAMN04621185
Acinetobacter baumannii  	strain: A85	470	ASM221006v1	GCF_002210065.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4039997	4144615	2017-06-28	4036	PRJNA269083	SAMN07125723
Acinetobacter baumannii  	"isolate: A1296, strain: A1296"	470	ASM250414v1	GCF_002504145.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3686342	3810701	2017-10-10	3667	PRJNA355911	SAMN06099024
Acinetobacter baumannii  	strain: A388	470	ASM274141v1	GCF_002741415.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3999012	4032048	2017-11-02	3908	PRJNA269083	SAMN07736509
Acinetobacter baumannii  	strain: AbPK1	470	ASM275391v1	GCF_002753915.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4052889	4147337	2017-11-06	4052	PRJNA416212	SAMN07945345
Acinetobacter baumannii  	strain: AYP-A2	470	ASM276157v1	GCF_002761575.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3991735	4102702	2017-11-07	3975	PRJNA396979	SAMN07445112
Acinetobacter baumannii  	strain: Ab4977	470	ASM276209v1	GCF_002762095.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3966912	3966912	2017-11-08	3819	PRJNA416164	SAMN07943355
Acinetobacter baumannii  	strain: Ab4568	470	ASM276211v1	GCF_002762115.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4000452	4000452	2017-11-08	3866	PRJNA416164	SAMN07943353
Acinetobacter baumannii  	strain: Ab4653	470	ASM276215v1	GCF_002762155.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3913931	3913931	2017-11-08	3758	PRJNA416164	SAMN07943354
Acinetobacter baumannii  	strain: VB23193	470	ASM276254v2	GCF_002762545.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline	Complete Genome	4193563	4234752	2019-02-12	4175	PRJNA417137	SAMN07977426
Acinetobacter baumannii  	strain: AB307-0294	557600	ASM280302v2	GCF_002803025.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3759495	3759495	2019-01-14	3546	PRJNA269083	SAMN02603889
Acinetobacter baumannii  	isolate: SMC_Paed_Ab_BL01	470	ASM284366v1	GCF_002843665.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3983848	4058089	2017-12-17	3929	PRJNA419431	SAMN08054861
Acinetobacter baumannii  	strain: ABNIH28	470	ASM290288v1	GCF_002902885.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3787376	4078838	2018-01-29	4007	PRJNA430813	SAMN06040401
Acinetobacter baumannii  	strain: AR_0056	470	ASM294741v1	GCF_002947415.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3993843	4188385	2018-02-18	4122	PRJNA292904	SAMN04014897
Acinetobacter baumannii  	strain: AR_0063	470	ASM294784v1	GCF_002947845.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4028761	4101751	2018-02-18	3959	PRJNA292904	SAMN04014904
Acinetobacter baumannii  	strain: AR_0078	470	ASM294892v1	GCF_002948925.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3871930	3871930	2018-02-19	3691	PRJNA292904	SAMN04014919
Acinetobacter baumannii  	strain: WCHAB005133	470	ASM295049v2	GCF_002950495.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3893621	3941678	2019-08-16	3768	PRJNA387062	SAMN08364585
Acinetobacter baumannii  	strain: AR_0083	470	ASM299680v1	GCF_002996805.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4149444	4158175	2018-03-14	4039	PRJNA292904	SAMN04014924
Acinetobacter baumannii  	strain: WCHAB005078	470	ASM299919v2	GCF_002999195.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3990012	4140048	2019-08-16	4044	PRJNA387062	SAMN08364584
Acinetobacter baumannii  	strain: AR_0088	470	ASM300603v1	GCF_003006035.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4040515	4228300	2018-03-16	4049	PRJNA292904	SAMN04014929
Acinetobacter baumannii  	strain: AR_0102	470	ASM301065v1	GCF_003010655.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3944627	4060325	2018-03-19	3930	PRJNA292904	SAMN04014943
Acinetobacter baumannii  	strain: AR_0101	470	ASM301067v1	GCF_003010675.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4233827	4249922	2018-03-19	4152	PRJNA292904	SAMN04014942
Acinetobacter baumannii  	strain: AR_0056	470	ASM302949v1	GCF_003029495.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3993838	4188380	2018-04-02	4121	PRJNA316321	SAMN04014897
Acinetobacter baumannii  	strain: DA33098	470	ASM318101v1	GCF_003181015.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3975885	4173004	2018-05-31	4111	PRJNA472712	SAMN09241862
Acinetobacter baumannii  	strain: XH731	470	ASM326425v1	GCF_003264255.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3914578	3979135	2018-06-25	3828	PRJNA361029	SAMN07135563
Acinetobacter baumannii  	strain: XH386	470	ASM326427v1	GCF_003264275.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4108882	4221037	2018-06-25	4128	PRJNA273343	SAMN07135565
Acinetobacter baumannii  	strain: XH731	470	ASM326429v1	GCF_003264295.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3909773	3974327	2018-06-25	3821	PRJNA361029	SAMN06219545
Acinetobacter baumannii  	strain: Aba	470	ASM328877v1	GCF_003288775.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3911735	3920467	2018-07-05	3744	PRJNA475448	SAMN09389171
Acinetobacter baumannii  	strain: DA33382	470	ASM329622v1	GCF_003296225.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3947407	4036816	2018-07-09	3935	PRJNA472712	SAMN09460321
Acinetobacter baumannii  	strain: 810CP	470	ASM334523v1	GCF_003345235.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4089681	4111057	2018-07-30	3985	PRJNA311558	SAMN07559626
Acinetobacter baumannii  	strain: 7804	470	ASM343138v1	GCF_003431385.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4159217	4342018	2017-07-28	4187	PRJNA311558	SAMN07289440
Acinetobacter baumannii  	strain: AR_0070	470	ASM343186v1	GCF_003431865.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4093545	4317303	2018-02-28	4256	PRJNA316321	SAMN04014911
Acinetobacter baumannii  	strain: 7847	470	ASM351600v1	GCF_003516005.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3986569	4080593	2018-09-10	3927	PRJNA311558	SAMN07284119
