Assembly Accession	Assembly Name	Organism Name	Annotation Name	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Assembly BioProject Accession	Assembly BioSample Accession
GCF_012934905.1	ASM1293490v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-30	3.0	PRJNA613562	SAMN14409516
GCF_024139035.1	ASM2413903v1	Acinetobacter baumannii	GCF_024139035.1-RS_2024_07_14	Complete Genome	2022-07-05	2.0	PRJNA731249	SAMN19356535
GCF_023981045.1	ASM2398104v1	Acinetobacter baumannii	GCF_023981045.1-RS_2024_07_05	Complete Genome	2022-06-28	1.0	PRJNA580046	SAMN13150932
GCF_003812485.1	ASM381248v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-11-21	4.0	PRJNA505170	SAMN10411605
GCF_018808925.1	ASM1880892v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-09	3.0	PRJNA602058	SAMN13874777
GCF_021899715.1	ASM2189971v1	Acinetobacter baumannii	GCF_021899715.1-RS_2024_03_17	Complete Genome	2022-02-03	4.0	PRJNA779589	SAMN25263435
GCF_003431385.1	ASM343138v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-07-28	3.0	PRJNA311558	SAMN07289440
GCF_041154855.1	ASM4115485v1	Acinetobacter baumannii	GCF_041154855.1-RS_2024_08_10	Complete Genome	2024-08-10	1.0	PRJDB18098	SAMD00778487
GCF_034494405.1	ASM3449440v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-20	5.0	PRJNA812595	SAMN36514289
GCF_043048875.1	ASM4304887v1	Acinetobacter baumannii	GCF_043048875.1-RS_2024_10_13	Complete Genome	2024-10-15	1.0	PRJNA1016089	SAMN37368123
GCF_038987955.1	ASM3898795v1	Acinetobacter baumannii	GCF_038987955.1-RS_2024_05_02	Complete Genome	2024-05-03	2.0	PRJNA992789	SAMN36374880
GCF_005518095.1	ASM551809v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-05-20	4.0	PRJNA542432	SAMN11621520
GCF_041927285.1	ASM4192728v1	Acinetobacter baumannii	GCF_041927285.1-RS_2024_09_16	Complete Genome	2024-09-17	3.0	PRJNA1158483	SAMN43539523
GCF_012935005.1	ASM1293500v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-30	7.0	PRJNA613679	SAMN14414761
GCF_024139095.1	ASM2413909v1	Acinetobacter baumannii	GCF_024139095.1-RS_2024_07_14	Complete Genome	2022-07-05	2.0	PRJNA731249	SAMN19356522
GCF_006385075.1	ASM638507v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-06-22	1.0	PRJNA548265	SAMN12015779
GCF_003522665.1	ASM352266v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-09-10	2.0	PRJNA311558	SAMN07520236
GCF_039545565.1	NCSR_106 Hybrid assembly	Acinetobacter baumannii	GCF_039545565.1-RS_2024_05_07	Complete Genome	2024-05-08	6.0	PRJNA835506	SAMN41107056
GCF_022459415.1	ASM2245941v1	Acinetobacter baumannii	GCF_022459415.1-RS_2024_04_21	Complete Genome	2022-03-03	1.0	PRJNA798866	SAMN25131643
GCF_043051495.1	ASM4305149v1	Acinetobacter baumannii	GCF_043051495.1-RS_2024_10_13	Complete Genome	2024-10-15	3.0	PRJNA1016089	SAMN37368119
GCF_022548575.1	ASM2254857v1	Acinetobacter baumannii	GCF_022548575.1-RS_2024_04_21	Complete Genome	2022-03-03	1.0	PRJNA798866	SAMN25131652
GCF_038441245.1	ASM3844124v1	Acinetobacter baumannii	GCF_038441245.1-RS_2024_04_24	Complete Genome	2024-04-25	2.0	PRJNA1000275	SAMN36766187
GCF_025258785.1	ASM2525878v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19	3.0	PRJNA812595	SAMN21493859
GCF_009455505.1	ASM945550v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-01	1.0	PRJNA472798	SAMN09244200
GCF_012931645.1	ASM1293164v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-29	5.0	PRJNA473419	SAMN14667515
GCF_040834015.1	ASM4083401v1	Acinetobacter baumannii	GCF_040834015.1-RS_2024_07_25	Complete Genome	2024-07-25	5.0	PRJNA1136225	SAMN42510403
GCF_039780165.1	ASM3978016v1	Acinetobacter baumannii	GCF_039780165.1-RS_2024_05_24	Complete Genome	2024-05-24	4.0	PRJNA812075	SAMN41384382
GCF_016864295.1	ASM1686429v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-11	1.0	PRJNA644570	SAMN15501054
GCF_005280435.1	ASM528043v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-05-11	3.0	PRJNA540767	SAMN11557458
GCF_013305465.1	ASM1330546v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-06-09	1.0	PRJNA631347	SAMN14859482
GCF_017724195.1	ASM1772419v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-03	5.0	PRJNA716790	SAMN18452659
GCF_003547115.1	ASM354711v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-28	5.0	PRJNA316321	SAMN04014893
GCF_023517695.1	ASM2351769v1	Acinetobacter baumannii	GCF_023517695.1-RS_2024_05_27	Complete Genome	2022-05-23	3.0	PRJNA738868	SAMN19774653
GCF_002082785.1	ASM208278v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-04-10	2.0	PRJNA380857	SAMN06650239
GCF_024732425.1	ASM2473242v1	Acinetobacter baumannii	GCF_024732425.1-RS_2024_09_07	Complete Genome	2022-08-22	2.0	PRJNA472828	SAMN09244924
GCF_023360995.1	ASM2336099v1	Acinetobacter baumannii	GCF_023360995.1-RS_2024_05_21	Complete Genome	2022-05-13	2.0	PRJNA789460	SAMN24114687
GCF_016864915.1	ASM1686491v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-11	3.0	PRJNA644570	SAMN15501316
GCF_001399655.1	ASM139965v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-10-19	5.0	PRJNA294725	SAMN04029125
GCF_043042175.1	ASM4304217v1	Acinetobacter baumannii	GCF_043042175.1-RS_2024_10_13	Complete Genome	2024-10-15	2.0	PRJNA1016089	SAMN37368133
GCF_022460295.1	ASM2246029v1	Acinetobacter baumannii	GCF_022460295.1-RS_2024_04_21	Complete Genome	2022-03-03	1.0	PRJNA798866	SAMN25131637
GCF_029774195.1	ASM2977419v1	Acinetobacter baumannii	GCF_029774195.1-RS_2024_04_24	Complete Genome	2023-04-17	3.0	PRJNA877402	SAMN30697790
GCF_025853995.1	ASM2585399v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-26	3.0	PRJNA812594	SAMN30898316
GCF_038627335.1	ASM3862733v2	Acinetobacter baumannii	GCF_038627335.1-RS_2024_06_09	Complete Genome	2024-05-31	4.0	PRJNA812595	SAMN41094848
GCF_013394285.1	ASM1339428v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-08	3.0	PRJNA574548	SAMN12859885
GCF_002753915.1	ASM275391v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-06	3.0	PRJNA416212	SAMN07945345
GCF_012935145.1	ASM1293514v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-30	3.0	PRJNA613590	SAMN14410111
GCF_023809705.1	ASM2380970v1	Acinetobacter baumannii	GCF_023809705.1-RS_2024_06_24	Complete Genome	2022-06-20	6.0	PRJNA848083	SAMN28981486
GCF_900088705.1	26872B01	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-06-13	2.0	PRJEB14024	SAMEA2439285
GCF_043571745.1	T3	Acinetobacter baumannii	GCF_043571745.1-RS_2024_10_23	Complete Genome	2024-10-24	2.0	PRJNA1171738	SAMN44252171
GCF_030413705.1	ASM3041370v1	Acinetobacter baumannii	GCF_030413705.1-RS_2024_07_11	Complete Genome	2023-07-10	5.0	PRJNA989410	SAMN36085765
GCF_024749625.1	ASM2474962v1	Acinetobacter baumannii	GCF_024749625.1-RS_2024_09_11	Complete Genome	2022-08-26	5.0	PRJNA779872	SAMN23078451
GCF_035937495.1	ASM3593749v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-22	1.0	PRJNA1053778	SAMN38865782
GCF_022759565.1	ASM2275956v1	Acinetobacter baumannii	GCF_022759565.1-RS_2024_04_24	Complete Genome	2022-03-30	5.0	PRJNA818046	SAMN26814682
GCF_017098225.2	ASM1709822v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-16	3.0	PRJNA646312	SAMN15538698
GCF_043040285.1	ASM4304028v1	Acinetobacter baumannii	GCF_043040285.1-RS_2024_10_13	Complete Genome	2024-10-15	1.0	PRJNA1016089	SAMN37368136
GCF_038441205.1	ASM3844120v1	Acinetobacter baumannii	GCF_038441205.1-RS_2024_04_25	Complete Genome	2024-04-25	4.0	PRJNA1000275	SAMN36766191
GCF_041154845.1	ASM4115484v1	Acinetobacter baumannii	GCF_041154845.1-RS_2024_08_10	Complete Genome	2024-08-10	2.0	PRJDB18098	SAMD00778479
GCF_029713865.1	ASM2971386v1	Acinetobacter baumannii	GCF_029713865.1-RS_2024_05_17	Complete Genome	2023-04-13	3.0	PRJNA819214	SAMN27010238
GCF_033378915.2	ASM3337891v2	Acinetobacter baumannii	GCF_033378915.2-RS_2024_06_26	Complete Genome	2024-06-26	2.0	PRJNA561493	SAMN31178860
GCF_003522785.1	ASM352278v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-09-10	3.0	PRJNA311558	SAMN07520233
GCF_042153585.1	Up377	Acinetobacter baumannii	GCF_042153585.1-RS_2024_09_24	Complete Genome	2024-09-25	5.0	PRJNA1126181	SAMN41934847
GCF_043052795.1	ASM4305279v1	Acinetobacter baumannii	GCF_043052795.1-RS_2024_10_13	Complete Genome	2024-10-15	1.0	PRJNA1016089	SAMN37368116
GCF_030585365.1	ASM3058536v1	Acinetobacter baumannii	GCF_030585365.1-RS_2024_08_09	Complete Genome	2023-08-02	3.0	PRJNA557486	SAMN13480522
GCF_002947845.1	ASM294784v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-18	2.0	PRJNA292904	SAMN04014904
GCF_040822405.1	ASM4082240v1	Acinetobacter baumannii	GCF_040822405.1-RS_2024_07_24	Complete Genome	2024-07-24	3.0	PRJNA1136224	SAMN42510876
GCF_018831125.1	ASM1883112v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-10	5.0	PRJNA602058	SAMN13874778
GCF_020810655.1	ASM2081065v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-09	3.0	PRJNA472828	SAMN14226727
GCF_021729465.1	ASM2172946v1	Acinetobacter baumannii	GCF_021729465.1-RS_2024_03_15	Complete Genome	2022-01-31	2.0	PRJNA638186	SAMN15182649
GCF_022459875.1	ASM2245987v1	Acinetobacter baumannii	GCF_022459875.1-RS_2024_04_21	Complete Genome	2022-03-03	1.0	PRJNA798866	SAMN25131640
GCF_001887305.1	ASM188730v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-11-29	2.0	PRJNA348168	SAMN06046790
GCF_004758865.1	ASM475886v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-04-09	4.0	PRJNA530138	SAMN11298775
GCF_015910475.1	ASM1591047v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-10	3.0	PRJNA437968	SAMN08687991
GCF_022459755.2	ASM2245975v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-26	2.0	PRJNA798866	SAMN25131641
GCF_024749385.1	ASM2474938v1	Acinetobacter baumannii	GCF_024749385.1-RS_2024_09_11	Complete Genome	2022-08-26	5.0	PRJNA779872	SAMN23078461
GCF_016865465.1	ASM1686546v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-30	1.0	PRJDB8068	SAMD00169927
GCF_042142835.1	Lv347	Acinetobacter baumannii	GCF_042142835.1-RS_2024_09_24	Complete Genome	2024-09-25	2.0	PRJNA1126181	SAMN41934856
GCF_022467735.1	ASM2246773v1	Acinetobacter baumannii	GCF_022467735.1-RS_2024_04_21	Complete Genome	2022-03-03	1.0	PRJNA798866	SAMN25131669
GCF_041014305.2	ASM4101430v1	Acinetobacter baumannii	GCF_041014305.2-RS_2024_09_22	Complete Genome	2024-08-03	3.0	PRJNA1128891	SAMN42110417
GCF_009497995.1	ASM949799v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-04	3.0	PRJNA311558	SAMN07520235
GCF_001806405.1	ASM180640v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-10-21	2.0	PRJNA339686	SAMN05601669
GCF_043045365.1	ASM4304536v1	Acinetobacter baumannii	GCF_043045365.1-RS_2024_10_13	Complete Genome	2024-10-15	1.0	PRJNA1016089	SAMN37368128
GCF_036718155.1	ASM3671815v2	Acinetobacter baumannii	GCF_036718155.1-RS_2024_04_21	Complete Genome	2024-04-06	3.0	PRJNA812595	SAMN39998251
GCF_041154795.1	ASM4115479v1	Acinetobacter baumannii	GCF_041154795.1-RS_2024_08_10	Complete Genome	2024-08-10	1.0	PRJDB18098	SAMD00778456
GCF_029713845.1	ASM2971384v1	Acinetobacter baumannii	GCF_029713845.1-RS_2024_05_17	Complete Genome	2023-04-13	3.0	PRJNA819214	SAMN27010291
GCF_012935105.1	ASM1293510v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-30	7.0	PRJNA613825	SAMN14420255
GCF_000828935.1	ASM82893v1	Acinetobacter baumannii	GCF_000828935.1-RS_2024_03_31	Complete Genome	2014-10-02	2.0	PRJDB3154	SAMD00020223
GCF_029223565.1	ASM2922356v1	Acinetobacter baumannii	GCF_029223565.1-RS_2024_04_30	Complete Genome	2023-03-16	2.0	PRJNA738868	SAMN30697644
GCF_002741415.1	ASM274141v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-02	2.0	PRJNA269083	SAMN07736509
GCF_012272715.1	ASM1227271v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-11	3.0	PRJNA612123	SAMN14308892
GCF_012974845.1	ASM1297484v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-05-05	2.0	PRJNA548859	SAMN12057668
GCF_001636235.1	ASM163623v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-05-03	3.0	PRJNA311558	SAMN04485290
GCF_033192035.1	ASM3319203v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-01	4.0	PRJNA1023193	SAMN37643064
GCF_038998165.1	ASM3899816v1	Acinetobacter baumannii	GCF_038998165.1-RS_2024_05_02	Complete Genome	2024-05-03	2.0	PRJNA992789	SAMN36374922
GCF_029713905.1	ASM2971390v1	Acinetobacter baumannii	GCF_029713905.1-RS_2024_05_17	Complete Genome	2023-04-13	2.0	PRJNA819214	SAMN27010277
GCF_002082645.1	ASM208264v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-04-10	2.0	PRJNA380857	SAMN06650245
GCF_022467435.1	ASM2246743v1	Acinetobacter baumannii	GCF_022467435.1-RS_2024_04_21	Complete Genome	2022-03-03	1.0	PRJNA798866	SAMN25131672
GCF_022466815.1	ASM2246681v1	Acinetobacter baumannii	GCF_022466815.1-RS_2024_04_21	Complete Genome	2022-03-03	1.0	PRJNA798866	SAMN25131677
GCF_022460575.1	ASM2246057v1	Acinetobacter baumannii	GCF_022460575.1-RS_2024_04_21	Complete Genome	2022-03-03	1.0	PRJNA798866	SAMN25131635
GCF_022467975.1	ASM2246797v1	Acinetobacter baumannii	GCF_022467975.1-RS_2024_04_21	Complete Genome	2022-03-03	1.0	PRJNA798866	SAMN25131666
GCF_028583505.1	ASM2858350v1	Acinetobacter baumannii	GCF_028583505.1-RS_2024_03_18	Complete Genome	2023-02-10	2.0	PRJNA900181	SAMN31681936
GCF_029713945.1	ASM2971394v1	Acinetobacter baumannii	GCF_029713945.1-RS_2024_05_17	Complete Genome	2023-04-13	4.0	PRJNA819214	SAMN27010231
GCF_002947415.1	ASM294741v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-18	4.0	PRJNA292904	SAMN04014897
GCF_029714045.1	ASM2971404v1	Acinetobacter baumannii	GCF_029714045.1-RS_2024_05_17	Complete Genome	2023-04-13	3.0	PRJNA819214	SAMN27010226
GCF_001895125.2	ASM189512v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-10	4.0	PRJDB5156	SAMD00059694
GCF_022460015.1	ASM2246001v1	Acinetobacter baumannii	GCF_022460015.1-RS_2024_04_21	Complete Genome	2022-03-03	1.0	PRJNA798866	SAMN25131639
GCF_024172225.1	ASM2417222v1	Acinetobacter baumannii	GCF_024172225.1-RS_2024_07_15	Complete Genome	2022-07-06	3.0	PRJNA853436	SAMN29388303
GCF_000794125.2	ASM79412v2	Acinetobacter baumannii	GCF_000794125.2-RS_2024_04_07	Complete Genome	2022-12-21	4.0	PRJNA263680	SAMN03105183
GCF_002999195.2	ASM299919v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-16	4.0	PRJNA387062	SAMN08364584
GCF_024138435.1	ASM2413843v1	Acinetobacter baumannii	GCF_024138435.1-RS_2024_07_14	Complete Genome	2022-07-05	3.0	PRJNA731249	SAMN19356554
GCF_041154805.1	ASM4115480v1	Acinetobacter baumannii	GCF_041154805.1-RS_2024_08_31	Complete Genome	2024-08-10	1.0	PRJDB18098	SAMD00778457
GCF_026062515.1	ASM2606251v1	Acinetobacter baumannii	GCF_026062515.1-RS_2024_09_23	Complete Genome	2022-11-08	7.0	PRJNA893697	SAMN31494247
GCF_001806465.1	ASM180646v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-10-21	2.0	PRJNA339690	SAMN05601672
GCF_030585345.1	ASM3058534v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-08-02	3.0	PRJNA557486	SAMN13480523
GCF_043044755.1	ASM4304475v1	Acinetobacter baumannii	GCF_043044755.1-RS_2024_10_13	Complete Genome	2024-10-15	2.0	PRJNA1016089	SAMN37368129
GCF_038418365.1	ASM3841836v2	Acinetobacter baumannii	GCF_038418365.1-RS_2024_06_23	Complete Genome	2024-06-12	3.0	PRJNA812595	SAMN41020287
GCF_024749545.1	ASM2474954v1	Acinetobacter baumannii	GCF_024749545.1-RS_2024_09_11	Complete Genome	2022-08-26	4.0	PRJNA779872	SAMN23078457
GCF_900093475.1	36734_D01_2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-08-10	2.0	PRJEB6403	SAMEA3310339
GCF_003522885.1	ASM352288v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-09-10	2.0	PRJNA311558	SAMN07520231
GCF_043054745.1	ASM4305474v1	Acinetobacter baumannii	GCF_043054745.1-RS_2024_10_13	Complete Genome	2024-10-15	1.0	PRJNA1016089	SAMN37368112
GCF_028753295.1	ASM2875329v1	Acinetobacter baumannii	GCF_028753295.1-RS_2024_04_01	Complete Genome	2023-02-21	3.0	PRJNA865004	SAMN30174926
GCF_016903135.1	ASM1690313v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-17	3.0	PRJNA231221	SAMN16357502
GCF_029713785.1	ASM2971378v1	Acinetobacter baumannii	GCF_029713785.1-RS_2024_05_17	Complete Genome	2023-04-13	4.0	PRJNA819214	SAMN27010289
GCF_005280695.1	ASM528069v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-05-12	3.0	PRJNA541078	SAMN11571816
GCF_001573085.1	ASM157308v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-02-25	1.0	PRJNA290306	SAMN03890257
GCF_003181015.1	ASM318101v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-05-31	5.0	PRJNA472712	SAMN09241862
GCF_022459295.1	ASM2245929v1	Acinetobacter baumannii	GCF_022459295.1-RS_2024_04_21	Complete Genome	2022-03-03	1.0	PRJNA798866	SAMN25131644
GCF_001908295.1	ASM190829v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-19	3.0	PRJNA328023	SAMN05362953
GCF_038442405.1	CIRI-F19-02	Acinetobacter baumannii	GCF_038442405.1-RS_2024_04_25	Complete Genome	2024-04-25	2.0	PRJNA1100485	SAMN40971042
GCF_001806485.1	ASM180648v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-10-21	2.0	PRJNA339692	SAMN05601673
GCF_029774235.1	ASM2977423v1	Acinetobacter baumannii	GCF_029774235.1-RS_2024_04_16	Complete Genome	2023-04-17	3.0	PRJNA672213	SAMN16560994
GCF_002082845.1	ASM208284v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-04-10	1.0	PRJNA380857	SAMN06650262
GCF_008632635.1	ASM863263v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-23	2.0	PRJNA565663	SAMN12769618
GCF_042147895.1	Rp426	Acinetobacter baumannii	GCF_042147895.1-RS_2024_09_24	Complete Genome	2024-09-25	6.0	PRJNA1126181	SAMN41934838
GCF_003522845.1	ASM352284v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-09-10	2.0	PRJNA311558	SAMN07520232
GCF_024139075.1	ASM2413907v1	Acinetobacter baumannii	GCF_024139075.1-RS_2024_07_14	Complete Genome	2022-07-05	4.0	PRJNA731249	SAMN19356530
GCF_019903155.1	ASM1990315v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-08	4.0	PRJNA607827	SAMN15646564
GCF_001806445.1	ASM180644v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-10-21	2.0	PRJNA339689	SAMN05601671
GCF_002762095.1	ASM276209v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-08	1.0	PRJNA416164	SAMN07943355
GCF_038441325.1	ASM3844132v1	Acinetobacter baumannii	GCF_038441325.1-RS_2024_04_24	Complete Genome	2024-04-25	6.0	PRJNA1011532	SAMN37223190
GCF_025854215.1	ASM2585421v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-26	2.0	PRJNA812594	SAMN30898330
GCF_024749605.1	ASM2474960v1	Acinetobacter baumannii	GCF_024749605.1-RS_2024_09_11	Complete Genome	2022-08-26	4.0	PRJNA779872	SAMN23078452
GCF_040703085.1	ASM4070308v1	Acinetobacter baumannii	GCF_040703085.1-RS_2024_07_14	Complete Genome	2024-07-15	3.0	PRJNA1128891	SAMN42110418
GCF_008033255.2	ASM803325v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-28	3.0	PRJNA557366	SAMN12399660
